ID,Label,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
DXB,Dubai International,55655669.13,United Arab Emirates,25.25,55.35779953
LHR,Heathrow,50054382.7,United Kingdom,51.47140122,-0.452800006
HKG,Hong Kong Intl,45073391.22,Hong Kong (SAR),22.30360031,113.9205017
ICN,Incheon International Airport,42756098.48,South Korea,37.46020126,126.4406967
SIN,Changi,42326797.84,Singapore,1.357800007,103.990799
CDG,Charles De Gaulle,42274368.54,France,49.00970078,2.548599958
AMS,Schiphol,42068572.71,Netherlands,52.30830002,4.768099785
FRA,Frankfurt International Airport,40889303.43,Germany,50.03889847,8.570599556
BKK,Suvarnabhumi - New Bangkok International Airport,33759607.57,Thailand,13.70269966,100.7455978
IST,Istanbul Airport,32419419.34,Turkey,40.97669983,28.81529999
KUL,Kuala Lumpur International Airport,28518939.4,Malaysia,2.745599985,101.7098999
TPE,Taiwan Taoyuan International Airport,28129017.06,Taiwan,25.08259964,121.2285004
DOH,Hamad International Airport,27125680.58,Qatar,25.27440071,51.60829926
MAD,Adolfo Suarez-Barajas,26811681.07,Spain,40.47359848,-3.561100006
MUC,Franz Josef Strauss International,25444927.21,Germany,48.34999847,11.7833004
LGW,Gatwick,24876974.91,United Kingdom,51.14810181,-0.196700007
JFK,John F Kennedy Intl,24715743.98,United States,40.6385994,-73.77690125
PVG,Pudong International,24133917.4,China,31.14389992,121.7913971
BCN,Barcelona,23189184.75,Spain,41.2969017,2.078299999
NRT,Narita,22936926.15,Japan,35.76390076,140.391098
FCO,Fiumicino,20737867.99,Italy,41.8003006,12.23890019
YYZ,Toronto Lester B. Pearson Intl,20579124.2,Canada,43.67969894,-79.625
ZRH,Zurich,20386674.01,Switzerland,47.45830154,8.551699638
VIE,Vienna International,20076318.55,Austria,48.11109924,16.55830002
DUB,Dublin International,20016813.46,Ireland,53.43249893,-6.252200127
PEK,Capital International,18508383.5,China,40.06669998,116.5999985
CPH,Kastrup,18211681.33,Denmark,55.60810089,12.63329983
LAX,Los Angeles Intl,17998723.04,United States,33.94219971,-118.4072037
SVO,Sheremetyevo,17662308.92,Russian Federation,55.98329926,37.41669846
BRU,Brussels Airport,16781804.33,Belgium,50.90140152,4.484399796
LIS,Lisboa,16651333.36,Portugal,38.7818985,-9.133299828
MIA,Miami International,15930768.46,United States,25.79249954,-80.2861023
KIX,Kansai International,15718026.83,Japan,34.42499924,135.2471924
MAN,Manchester Airport,15693861.69,United Kingdom,53.35329819,-2.27670002
MNL,Ninoy Aquino Intl,15561232.89,Philippines,14.50860024,121.0193024
JED,King Abdulaziz Intl,15505926.48,Saudi Arabia,21.67130089,39.15969849
STN,Stansted,15245942.15,United Kingdom,51.88280106,0.233899996
MXP,Malpensa,14526395.5,Italy,45.63280106,8.732199669
TLV,Ben Gurion Intl,13820203.16,Israel,32.0121994,34.8824997
ARN,Arlanda,13632536.6,Sweden,59.66189957,17.93390083
DUS,Duesseldorf International,13541149.29,Germany,51.28110123,6.752799988
AUH,Abu Dhabi Intl,13299133.91,United Arab Emirates,24.43309975,54.64889908
ORY,Orly,12747304.7,France,48.72890091,2.357199907
CAN,Baiyun International,12424838.5,China,23.39249992,113.2996979
MEX,Benito Juarez Intl,11856868.86,Mexico,19.43530083,-99.07279968
PMI,Palma de Mallorca,11811792.66,Spain,39.55360031,2.727799892
HEL,Helsinki-Vantaa,11762383.47,Finland,60.32559967,24.97170067
HND,Tokyo Intl (Haneda),11271580.22,Japan,35.55360031,139.7657929
CAI,Cairo International Airport,11260448.74,Egypt,30.13750076,31.40690041
ATL,Hartsfield-Jackson Int,11226868.0,United States,33.64080048,-84.42720032
EWR,Newark Liberty Intl,11095742.75,United States,40.69580078,-74.17169952
GVA,Geneva International Airport,11077175.84,Switzerland,46.23809815,6.10890007
CUN,Cancun International,11040306.35,Mexico,21.0333004,-86.86669922
DEL,Indira Gandhi Intl,10997717.29,India,28.57360077,77.10079956
SYD,Kingsford Smith,10972585.89,Australia,-33.94419861,151.1757965
DMK,Don Mueang International Airport,10940452.36,Thailand,13.91110039,100.6082993
KWI,Kuwait Intl,10916122.57,Kuwait,29.2303009,47.97529984
OSL,Oslo Airport,10734162.57,Norway,60.20000076,11.08329964
CGK,Soekarno-Hatta Intl,10732745.67,Indonesia,-6.125800133,106.6577988
ATH,Eleftherios Venizelos Airport,10671498.72,Greece,37.93640137,23.94440079
PRG,Ruzyne,10606226.41,Czech Republic,50.09999847,14.26669979
MCT,Muscat International Airport,10243298.66,Oman,23.5916996,58.27920151
WAW,Okecie,10154164.52,Poland,52.16669846,20.9666996
SFO,San Francisco Intl,9998319.506,United States,37.61940002,-122.3728027
ORD,O'Hare International,9962225.616,United States,41.97809982,-87.90609741
TXL,Tegel,9821117.138,Germany,52.56060028,13.29559994
SGN,Tan Son Nhat International Airport,9689484.931,Vietnam,10.81719971,106.6577988
LTN,Luton International,9583235.438,United Kingdom,51.87440109,-0.366400003
BUD,Liszt Ferenc International,9533150.291,Hungary,47.43330002,19.23329926
